COUNTRY,DDATE,ZONES,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,AVG
Italy,12/10/2022,PUN,327.79,307.06,283.42,282.12,270.78,282.15,302.18,331.27,350,391.26,408.52,404.47,388.46,368.05,369.09,370.46,392,430.29,404.34,401.57,350.89,327.26,315,279.97,347.4333333
Italy,12/10/2022,SARD,214.96,209.14,40,40,40,40,209.14,321.16,350,396.61,419.33,410.13,398.1,375.9,377.07,330.01,343.16,414.99,340.01,100,40,40,0.1,0,227.0754167
Italy,12/10/2022,SICI,321.16,250,206,250,246.95,258.39,296.11,321.16,350,357.5,340.01,358.16,330.01,321.16,321.16,330.01,343.16,371.16,340.01,340.01,330.01,317,274,192.2,306.88875
Italy,12/10/2022,SUD,321.16,250,206,250,246.95,258.39,296.11,321.16,350,357.5,340.01,358.16,330.01,321.16,321.16,330.01,343.16,371.16,340.01,340.01,330.01,317,274,192.2,306.88875
Italy,12/11/2022,CALA,310.47,298.9,291.07,284.08,279.9,277.66,286.55,303.65,305.55,322.05,280,100,100,100,100,121.3,311.16,324.21,315,317.89,329.31,319.19,311.16,190.3,257.475
Italy,12/11/2022,CNOR,310.47,298.9,291.07,284.08,279.9,277.66,286.55,303.65,305.55,322.05,329.66,332.06,335.35,324.74,326.86,336.51,361.6,413.94,430.89,413.42,384.68,335.35,326.86,315.84,330.3183333
Italy,12/11/2022,CSUD,310.47,298.9,291.07,284.08,279.9,277.66,286.55,303.65,305.55,322.05,280,100,100,100,100,121.3,311.16,332,330,334.31,329.31,319.19,311.16,190.3,259.10875
Italy,12/11/2022,NORD,310.47,298.9,291.07,284.08,279.9,277.66,286.55,303.65,305.55,322.05,329.66,332.06,335.35,324.74,326.86,336.51,361.6,413.94,430.89,413.42,384.68,335.35,326.86,315.84,330.3183333
Italy,12/11/2022,PUN,299.58,288.17,280.83,273.92,269.94,267.84,276.11,292.66,294.35,298.77,290.61,245.1,245.59,238.98,241.91,254.12,335.9,382.36,391.64,381.42,363.43,329.15,320.83,268.73,297.1641667
Italy,12/11/2022,SARD,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,5,100,332,330,334.31,329.31,319.19,311.16,190.3,93.80708333
Italy,12/11/2022,SICI,310.47,298.9,291.07,284.08,279.9,277.66,286.55,303.65,305.55,130,100,100,100,100,100,121.3,311.16,324.21,315,317.89,329.31,319.19,311.16,190.3,241.9729167
Italy,12/11/2022,SUD,310.47,298.9,291.07,284.08,279.9,277.66,286.55,303.65,305.55,322.05,280,100,100,100,100,121.3,311.16,324.21,315,317.89,329.31,319.19,311.16,190.3,257.475
